"source","target","ligand","receptor","prob","pval","interaction_name","interaction_name_2","pathway_name","annotation","evidence"
"Astrocytes","In_LAMP5_PAX6","NRG3","ERBB4",0.371411569226853,0,"NRG3_ERBB4","NRG3 - ERBB4","NRG","Secreted Signaling","KEGG: hsa04012"
"Astrocytes_Reactive","In_LAMP5_PAX6","NRG3","ERBB4",0.36382737574424,0,"NRG3_ERBB4","NRG3 - ERBB4","NRG","Secreted Signaling","KEGG: hsa04012"
"OPCs","In_LAMP5_PAX6","NRG3","ERBB4",0.247269692334153,0,"NRG3_ERBB4","NRG3 - ERBB4","NRG","Secreted Signaling","KEGG: hsa04012"
"Ex_L2_3","Astrocytes","NRG3","ERBB4",0.32163937987849,0,"NRG3_ERBB4","NRG3 - ERBB4","NRG","Secreted Signaling","KEGG: hsa04012"
"Ex_L5_6","Astrocytes","NRG3","ERBB4",0.328759766179444,0,"NRG3_ERBB4","NRG3 - ERBB4","NRG","Secreted Signaling","KEGG: hsa04012"
"Ex_L6b","Astrocytes","NRG3","ERBB4",0.327533704566062,0,"NRG3_ERBB4","NRG3 - ERBB4","NRG","Secreted Signaling","KEGG: hsa04012"
"In_VIP","Astrocytes","NRG3","ERBB4",0.328571806838918,0,"NRG3_ERBB4","NRG3 - ERBB4","NRG","Secreted Signaling","KEGG: hsa04012"
"In_SST","Astrocytes","NRG3","ERBB4",0.315872794376673,0,"NRG3_ERBB4","NRG3 - ERBB4","NRG","Secreted Signaling","KEGG: hsa04012"
"In_PVALB","Astrocytes","NRG3","ERBB4",0.320715905120056,0,"NRG3_ERBB4","NRG3 - ERBB4","NRG","Secreted Signaling","KEGG: hsa04012"
"In_LAMP5","Astrocytes","NRG3","ERBB4",0.302703203743737,0,"NRG3_ERBB4","NRG3 - ERBB4","NRG","Secreted Signaling","KEGG: hsa04012"
"In_LAMP5_PAX6","Astrocytes","NRG3","ERBB4",0.297058330005356,0,"NRG3_ERBB4","NRG3 - ERBB4","NRG","Secreted Signaling","KEGG: hsa04012"
"Astrocytes","Astrocytes","NRG3","ERBB4",0.340005953139662,0,"NRG3_ERBB4","NRG3 - ERBB4","NRG","Secreted Signaling","KEGG: hsa04012"
"Astrocytes_Reactive","Astrocytes","NRG3","ERBB4",0.33272360761559,0,"NRG3_ERBB4","NRG3 - ERBB4","NRG","Secreted Signaling","KEGG: hsa04012"
"OPCs","Astrocytes","NRG3","ERBB4",0.222643164609788,0,"NRG3_ERBB4","NRG3 - ERBB4","NRG","Secreted Signaling","KEGG: hsa04012"
"Ex_L2_3","Astrocytes_Reactive","NRG3","ERBB4",0.271384843390977,0,"NRG3_ERBB4","NRG3 - ERBB4","NRG","Secreted Signaling","KEGG: hsa04012"
"Ex_L5_6","Astrocytes_Reactive","NRG3","ERBB4",0.277848381854802,0,"NRG3_ERBB4","NRG3 - ERBB4","NRG","Secreted Signaling","KEGG: hsa04012"
"Ex_L6b","Astrocytes_Reactive","NRG3","ERBB4",0.276733910048733,0,"NRG3_ERBB4","NRG3 - ERBB4","NRG","Secreted Signaling","KEGG: hsa04012"
"In_VIP","Astrocytes_Reactive","NRG3","ERBB4",0.277677488687791,0,"NRG3_ERBB4","NRG3 - ERBB4","NRG","Secreted Signaling","KEGG: hsa04012"
"In_SST","Astrocytes_Reactive","NRG3","ERBB4",0.266165736000188,0,"NRG3_ERBB4","NRG3 - ERBB4","NRG","Secreted Signaling","KEGG: hsa04012"
"In_PVALB","Astrocytes_Reactive","NRG3","ERBB4",0.270548110945733,0,"NRG3_ERBB4","NRG3 - ERBB4","NRG","Secreted Signaling","KEGG: hsa04012"
"In_LAMP5","Astrocytes_Reactive","NRG3","ERBB4",0.254298223214252,0,"NRG3_ERBB4","NRG3 - ERBB4","NRG","Secreted Signaling","KEGG: hsa04012"
"In_LAMP5_PAX6","Astrocytes_Reactive","NRG3","ERBB4",0.249233377641334,0,"NRG3_ERBB4","NRG3 - ERBB4","NRG","Secreted Signaling","KEGG: hsa04012"
"Astrocytes","Astrocytes_Reactive","NRG3","ERBB4",0.288100490118947,0,"NRG3_ERBB4","NRG3 - ERBB4","NRG","Secreted Signaling","KEGG: hsa04012"
"Astrocytes_Reactive","Astrocytes_Reactive","NRG3","ERBB4",0.281455772930686,0,"NRG3_ERBB4","NRG3 - ERBB4","NRG","Secreted Signaling","KEGG: hsa04012"
